trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1++all+34,18:01:00,18:01:00,8_1,8,,0,0,1
1++all+34,18:01:00,18:01:00,9_1,9,,0,0,1
1++all+34,18:02:00,18:02:00,10_1,10,,0,0,1
1++all+34,18:02:00,18:02:00,11_1,11,,0,0,1
1++all+34,18:05:00,18:05:00,1_1,12,,1,0,1
1++all+35,18:15:00,18:15:00,1_1,1,,0,1,1
1++all+35,18:15:00,18:15:00,2_1,2,,0,0,1
1++all+35,18:18:00,18:18:00,3_1,3,,0,0,1
1++all+35,18:19:00,18:19:00,4_1,4,,0,0,1
1++all+35,18:20:00,18:20:00,5_1,5,,0,0,1
1++all+35,18:20:00,18:20:00,6_1,6,,0,0,1
1++all+35,18:21:00,18:21:00,7_1,7,,0,0,1
1++all+35,18:21:00,18:21:00,8_1,8,,0,0,1
1++all+35,18:21:00,18:21:00,9_1,9,,0,0,1
1++all+35,18:22:00,18:22:00,10_1,10,,0,0,1
1++all+35,18:22:00,18:22:00,11_1,11,,0,0,1
1++all+35,18:25:00,18:25:00,1_1,12,,1,0,1
1++all+36,18:35:00,18:35:00,1_1,1,,0,1,1
1++all+36,18:35:00,18:35:00,2_1,2,,0,0,1
1++all+36,18:38:00,18:38:00,3_1,3,,0,0,1
1++all+36,18:39:00,18:39:00,4_1,4,,0,0,1
1++all+36,18:40:00,18:40:00,5_1,5,,0,0,1
1++all+36,18:40:00,18:40:00,6_1,6,,0,0,1
1++all+36,18:41:00,18:41:00,7_1,7,,0,0,1
1++all+36,18:41:00,18:41:00,8_1,8,,0,0,1
1++all+36,18:41:00,18:41:00,9_1,9,,0,0,1
1++all+36,18:42:00,18:42:00,10_1,10,,0,0,1
1++all+36,18:42:00,18:42:00,11_1,11,,0,0,1
1++all+36,18:45:00,18:45:00,1_1,12,,1,0,1
1++all+37,18:55:00,18:55:00,1_1,1,,0,1,1
1++all+37,18:55:00,18:55:00,2_1,2,,0,0,1
1++all+37,18:58:00,18:58:00,3_1,3,,0,0,1
1++all+37,18:59:00,18:59:00,4_1,4,,0,0,1
1++all+37,19:00:00,19:00:00,5_1,5,,0,0,1
1++all+37,19:00:00,19:00:00,6_1,6,,0,0,1
1++all+37,19:01:00,19:01:00,7_1,7,,0,0,1
